  -74.500  165.330  -74.830  164.330  -75.170  163.000  -75.670  162.670DAT  129
  -76.080  162.670  -76.500  163.000  -76.920  163.330  -77.330  163.670DAT  130
  -77.750  163.670  -78.000  164.670  -78.420  166.000  -78.500  164.000DAT  131
  -78.750  161.500  -79.170  160.000  -79.670  160.000  -80.000  160.000DAT  132
  -80.500  160.330  -81.000  160.330  -81.500  161.000  -81.920  162.330DAT  133
  -82.420  164.000  -82.830  166.000  -83.250  168.500  -83.500  171.500DAT  134
  -83.500  176.000  -83.830  180.000                                    DAT  135
  12                -77.080  -77.670  169.670  166.330  -77.580  166.330DAT  136
  -77.670  168.170  -77.420  169.670  -77.330  168.170  -77.080  166.670DAT  137
  -77.580  166.330                                                      DAT  138
  20                -78.750  -80.250 -160.000 -164.000  -78.750 -164.000DAT  139
  -79.080 -163.000  -79.330 -163.670  -79.830 -163.670  -80.250 -161.670DAT  140
  -79.920 -160.000  -79.500 -160.000  -79.080 -160.670  -78.750 -161.670DAT  141
  -78.750 -164.000                                                      DAT  142
  10                -76.170  -76.750 -147.170 -150.170  -76.580 -150.170DAT  143
  -76.750 -148.500  -76.420 -147.170  -76.170 -148.170  -76.580 -150.170DAT  144
  54                -68.830  -72.670  -68.330  -76.500  -71.080  -76.170DAT  145
  -71.330  -76.500  -71.670  -76.000  -71.830  -75.000  -72.170  -74.330DAT  146
  -72.250  -73.330  -72.580  -73.000  -72.670  -71.500  -72.580  -70.000DAT  147
  -72.330  -68.830  -71.920  -68.500  -71.500  -68.330  -71.000  -68.500DAT  148
  -70.500  -68.830  -70.000  -69.330  -69.420  -69.670  -68.830  -70.330DAT  149
  -68.920  -71.170  -69.080  -71.670  -69.580  -71.500  -70.080  -71.000DAT  150
  -70.580  -70.670  -70.830  -71.000  -70.920  -71.830  -71.000  -73.000DAT  151
  -71.080  -74.670  -71.080  -76.170                                    DAT  152
  18                -69.750  -70.580  -73.670  -76.170  -70.580  -76.170DAT  153
  -70.580  -75.000  -70.500  -74.000  -70.250  -73.750  -69.920  -73.670DAT  154
  -69.750  -74.500  -70.000  -75.750  -70.250  -75.670  -70.580  -76.170DAT  155
  16                -64.000  -64.830  -62.000  -64.330  -64.670  -64.330DAT  156
  -64.830  -63.500  -64.580  -63.000  -64.330  -62.000  -64.000  -62.500DAT  157
  -64.580  -63.000  -64.250  -63.500  -64.670  -64.330                  DAT  158
  10                -63.000  -63.500  -55.000  -56.500  -63.250  -56.500DAT  159
  -63.500  -56.000  -63.420  -55.000  -63.000  -55.830  -63.250  -56.500DAT  160
  18                -62.000  -62.750  -57.670  -61.000  -62.670  -61.000DAT  161
  -62.750  -60.330  -62.330  -59.330  -62.250  -58.670  -62.000  -57.670DAT  162
  -62.000  -58.830  -62.330  -59.330  -62.500  -60.330  -62.670  -61.000DAT  163
   8                -60.330  -60.700  -45.000  -46.330  -60.630  -46.330DAT  164
  -60.700  -45.000  -60.330  -46.000  -60.630  -46.330                  DAT  165
 198                  0.000  -41.420  -70.080  -81.330    0.000  -80.080DAT  166
    -.330  -80.500    -.830  -80.500   -1.000  -80.920   -1.670  -80.750DAT  167
   -2.170  -80.750   -2.330  -80.920   -2.500  -80.580   -3.000  -80.170DAT  168
   -2.500  -80.080   -2.500  -79.670   -2.830  -79.830   -3.330  -80.000DAT  169
   -3.500  -80.330   -3.830  -80.830   -4.250  -81.330   -4.670  -81.330DAT  170
   -5.170  -81.170   -5.670  -80.830   -6.000  -81.170   -6.250  -80.830DAT  171
   -6.500  -80.330   -6.830  -80.000   -7.250  -79.670   -7.830  -79.500DAT  172
   -8.170  -79.000   -8.670  -78.670   -9.170  -78.500   -9.670  -78.330DAT  173
  -10.170  -78.170  -10.830  -77.670  -11.330  -77.500  -11.830  -77.170DAT  174
  -12.170  -77.000  -12.500  -76.670  -13.000  -76.500  -13.670  -76.170DAT  175
  -14.170  -76.250  -14.670  -75.830  -15.000  -75.500  -15.330  -75.170DAT  176
  -15.750  -74.500  -15.830  -74.000  -16.250  -73.500  -16.580  -72.830DAT  177
  -16.670  -72.500  -17.000  -72.000  -17.250  -71.500  -17.670  -71.170DAT  178
  -17.830  -70.830  -18.250  -70.330  -18.750  -70.330  -19.330  -70.250DAT  179
  -20.000  -70.080  -20.500  -70.170  -21.000  -70.170  -21.500  -70.080DAT  180
  -22.000  -70.170  -22.500  -70.250  -23.000  -70.500  -23.500  -70.500DAT  181
  -24.000  -70.500  -24.500  -70.580  -25.000  -70.500  -25.420  -70.500DAT  182
  -25.750  -70.750  -26.330  -70.580  -27.000  -70.920  -27.500  -70.920DAT  183
  -28.000  -71.170  -28.500  -71.250  -29.000  -71.500  -29.330  -71.330DAT  184
  -30.000  -71.250  -30.250  -71.580  -30.750  -71.670  -31.330  -71.580DAT  185
  -31.830  -71.500  -32.170  -71.500  -32.500  -71.330  -33.170  -71.670DAT  186
  -33.670  -71.580  -34.000  -71.830  -34.500  -71.920  -35.000  -72.170DAT  187
  -35.500  -72.500  -36.000  -72.670  -36.500  -72.830  -36.670  -73.080DAT  188
  -37.170  -73.080  -37.170  -73.500  -37.750  -73.670  -38.170  -73.420DAT  189
  -38.580  -73.420  -39.000  -73.330  -39.500  -73.250  -40.000  -73.670DAT  190
  -40.580  -73.670  -41.000  -73.830                                    DAT  191
 198                -41.000  -53.830  -65.670  -75.580  -41.000  -73.830DAT  192
  -41.420  -73.750  -41.750  -73.580  -41.830  -73.170  -41.500  -73.000DAT  193
  -41.670  -72.500  -42.000  -72.750  -42.170  -72.500  -42.330  -72.750DAT  194
  -43.000  -72.750  -43.420  -73.000  -43.750  -72.830  -44.170  -73.170DAT  195
  -44.420  -73.000  -44.670  -73.420  -45.000  -73.330  -45.500  -73.580DAT  196
  -45.170  -73.670  -45.000  -73.830  -44.670  -73.580  -44.420  -73.670DAT  197
  -44.170  -73.500  -43.830  -73.830  -44.170  -74.250  -44.580  -74.500DAT  198
  -45.000  -74.330  -45.250  -74.500  -45.580  -74.670  -45.830  -74.500DAT  199
